nombre,poblacion,superficie,continente
México,129875529,1964375,America
Sudáfrica,59390000,1221037,Africa
República de Corea,51740000,100210,Asia
Chequia,10850000,78867,Europa
Canadá,40100000,9984670,America
Bosnia y Herzegovina,3230000,51197,Europa
Catar,2716000,11586,Asia
Suiza,8900000,41285,Europa
Brasil,213993437,8515767,America
Marruecos,37460000,446550,Africa
Haití,11500000,27750,America
Escocia,5540000,77933,Europa
Estados Unidos,340110988,9833517,America
Paraguay,6780744,406752,America
Australia,26700000,7692024,Oceania
Turquía,85300000,783562,Asia
Alemania,83149300,357022,Europa
Curaçao,155000,444,America
Costa de Marfil,29400000,322463,Africa
Ecuador,18190000,256370,America
Suecia,10500000,450295,Europa
Países Bajos,17900000,41543,Europa
Japón,125800000,377975,Asia
Túnez,12000000,163610,Africa
Bélgica,11800000,30528,Europa
Egipto,109300000,1002450,Africa
Irán,89100000,1648195,Asia
Nueva Zelanda,5223000,268021,Oceania
España,48590000,505990,Europa
Cabo Verde,593000,4033,Africa
Arabia Saudita,37100000,2149690,Asia
Uruguay,3473727,176215,America
Francia,68600000,551695,Europa
Senegal,18100000,196722,Africa
Irak,45500000,438317,Asia
Noruega,5560000,385207,Europa
Argentina,47000000,2780400,America
Argelia,45600000,2381741,Africa
Austria,9200000,83879,Europa
Jordania,11400000,89342,Asia
Portugal,10600000,92212,Europa
República Democrática del Congo,111000000,2344858,Africa
Uzbekistán,37500000,448978,Asia
Colombia,53300000,1141748,America
Inglaterra,57000000,130279,Europa
Croacia,3850000,56594,Europa
Panamá,4500000,75417,America
Ghana,34100000,238533,Africa
